uid,shard,migration_ts,migrated_status
ooUxSmokgGYcFn8Xpeyqm5j1o5T2,1,1679392978327,success
1Uf35ZmBUOavb3ea9OVw6ry1Mxv1,1,1679393008419,success
OFKQ7A1ewTZAQ32zlONqtAa8T5T2,1,1679393038288,success
Mxb9fhzEeHW5mkdHZML4aeb6WgZ2,1,1679393116654,success
ildtyHPUBMOtgFdk8PPfB2KViTi1,1,1679393173194,success
oblgjjA37iSKtg0CPIUytaSqQme2,1,1679390585006,success
GPDGIucbB0RudU4Jkcu7g2Bnbn23,1,1679390623309,success
CqlqzQumgPTK5Zgf4UjzZdPU0KZ2,1,1679390695977,success
umKd6wB3h2VAyVMzJxhwT8JsjNM2,1,1679390701024,success
ITLuBR0ydTfEOXUArDetgfoxWb73,1,1679390729629,success
VZNhQkz4robNdAnWg6Nas8pjE8o2,1,1679390761820,success
KUWv2CP2xBbPODtOhaZbJpvNmyY2,1,1679390764874,success
RTeDEjO7JHYs4DU6FXFZxTYH4E83,1,1679390768456,success
MiEhf5pYMNeHPvcoqSrNj0AbPra2,1,1679390845043,success
7Rbud5MSOZcClUo6cYrd8rydCv13,1,1679390862042,success
